year,id,opening,rrh,timebin,wolf
1976,KW BJ 53432,1,0,4,0
1977,FF 1977 2,1,0,4,0
1977,KW XKY 325,0,0,4,1
1977,FD 1977 40122,1,0,4,0
1977,GX 40009 3-1,1,0,4,1
1978,VD 1043 6-1,1,0,4,0
1978,FV 1978 40004,0,1,4,1
1978,KW GW P100729,1,0,4,0
1978,FE 1979 40043,1,0,4,0
1979,KW BJ 52118,0,0,4,0
1979,FE 1979 100,1,0,4,0
1979,VD 1064 5-1,1,0,4,0
1979,BPN B8009042,1,0,4,1
1979,KW BJ 53284,1,0,4,0
1980,KW XKR 3215,1,0,4,0
1980,KW XKZ 1726,0,1,4,1
1980,KW XKR 3332,0,1,4,1
1980,KW XKP 260,0,1,4,1
1981,FE 1986 40051,1,0,4,1
1981,KW BJ 51934,1,0,4,0
1981,FA 1981 26,0,1,4,0
1981,KW Ki 8785,0,0,4,1
1982,KW BJ 50360,0,1,4,1
1982,FE 1982 40021,0,1,4,1
1982,KW GW A101336,1,0,4,1
1982,VC 337 17-1,1,0,4,1
1983,KW XKY 217,0,0,4,1
1983,KW BJ 53174,0,0,4,0
1983,KW BJ 13723,0,1,4,1
1983,FA 1985 49,1,0,4,1
1983,VD 1655 3-1,0,1,4,1
1983,KW BJ 41574,0,1,4,1
1983,FD 1983 40231,0,1,4,1
1983,FD 1984 711,1,0,4,0
1984,KW BJ 10426,0,1,4,1
1984,KW BJ 52963,0,0,4,0
1984,FE 1984 40018,1,0,4,1
1984,KW BJ 43399,0,1,4,1
1984,FA 1984 27,1,0,4,1
1984,5013249,1,0,4,1
1984,VE 210 4-1,1,0,4,1
1985,VD 1701 1-1,0,0,4,1
1985,FA 1985 60,1,0,4,0
1985,FF 1985 40010,1,0,4,1
1985,FA 1986 82,1,0,4,1
1985,KW BJ 53474,1,0,4,1
1986,6000772,1,0,4,1
1986,FX 1986 19,1,0,4,0
1987,6000164,1,0,4,0
1987,4003594,0,1,4,1
1987,5017890,1,0,4,1
1988,KW XKZ 1230,1,0,4,0
1988,2023946,1,0,4,0
1988,2019055,1,0,4,0
1988,5012859,1,0,4,1
1988,3004598,0,0,4,0
1988,6000818,1,0,4,1
1988,3002206,1,0,4,0
1988,7000083,1,0,4,1
1989,KW BJ 52455,1,0,4,0
1989,5025648,1,0,4,1
1989,KW XKR 0354,0,1,4,1
1989,2022446,1,0,4,1
1989,KW BJ 52253,1,0,4,1
1989,4162374,1,0,4,0
1989,5026200,0,0,4,0
1989,KW XKR 0885,1,0,4,1
1990,KW XKR 9711,1,0,4,1
1990,2037232,1,0,4,1
1990,KW BJ 35398,0,1,4,1
1990,2065741,1,0,4,1
1990,2038432,0,1,4,0
1991,4037724,1,0,4,1
1991,5039233,0,1,4,1
1991,2045328,0,1,4,1
1991,2042875,0,1,4,0
1991,1009617,1,0,4,1
1991,5041205,1,0,4,0
1991,1011407,1,0,4,0
1991,4041098,1,0,4,1
1991,2051851,1,0,4,0
1992,KW BJ 16446,0,0,4,0
1992,5046128,1,0,4,0
1992,5046742,1,0,4,0
1992,KW BJ 42421,0,0,4,1
1993,KW XKE 123,1,0,4,0
1993,KW XKR 0593,1,0,4,0
1993,KW XKR 1999,0,1,4,0
1993,5050097,1,0,4,0
1993,KW XKZ 0740,1,0,4,1
1993,2071740,1,0,4,1
1993,KW XKZ 1281,1,0,4,1
1994,KW XKY 629,0,1,4,0
1994,5061329,0,1,4,1
1994,2076937,1,0,4,0
1994,2084022,0,1,4,1
1994,5062699,1,0,4,0
1994,4064202,1,0,4,0
1995,5069593,1,0,4,1
1995,4094390,1,0,4,0
1996,4097271,1,0,4,0
1996,4086683,1,0,4,0
1996,5086710,1,0,4,0
1996,5088279,0,1,4,1
1996,2128844,0,1,4,1
1996,2124467,0,1,4,1
1996,4094953,0,1,4,1
1996,5086725,1,0,4,1
1997,KW XKR 5151,1,0,4,1
1997,4113288,1,0,4,1
1997,4153877,1,0,4,1
1998,5125806,0,1,4,1
1998,4121221,1,0,4,0
1999,5133031,0,0,4,1
1999,KW XKR 7548,0,1,4,0
1999,4139945,0,0,4,0
1999,4136359,1,0,4,1
2000,KW XKR 6247,0,0,4,0
2000,4153875,1,0,4,1
2000,5146977,1,0,4,1
2000,KW XKR 8464,0,0,4,1
2000,KW XKR 5265,1,0,4,0
2000,KW XKP 674,1,0,4,0
2000,KW XKR 9023,0,1,4,0
2001,5160658,0,1,4,1
2001,1028342,1,0,4,1
2001,2267819,0,0,4,1
2001,5160520,1,0,4,1
2001,2265002,1,0,4,0
2001,4184935,1,0,4,0
2002,5194483,1,0,4,0
2002,KW XKR 0595,0,1,4,0
2002,5169557,1,0,4,1
2002,2227389,0,1,4,0
2002,KW XKR 9510,1,0,4,0
2003,KW XKZ 1206,1,0,4,0
2003,KW XKR 9061,0,1,4,1
2003,4204161,0,0,4,1
2003,5185892,1,0,4,1
2003,KW XKZ 0266,1,0,4,0
2003,4199737,1,0,4,0
2003,5186753,1,0,4,1
2004,4207729,0,1,4,1
2004,KW XKR 5390,1,0,4,0
2004,4212901,1,0,4,1
2004,KW XKZ 1210,1,0,4,0
2005,5201886,1,0,4,1
2005,3013533,1,0,4,1
2005,3014574,1,0,4,0
2005,5212462,1,0,4,1
2005,3007625,1,0,4,0
2005,3010628,1,0,4,0
2006,KW XKZ 1862,1,0,4,1
2006,5229033,0,0,4,0
2006,4227076,0,0,4,0
2006,KW GW P100009,0,1,4,0
2006,4229105,0,0,4,0
2007,5230610,0,1,4,0
2007,4248580,1,0,4,0
2007,5235107,1,0,4,0
2007,5237627,1,0,4,1
2007,KW GW P100008,0,1,4,1
2008,5251998,1,0,4,1
2008,5244567,1,0,4,1
2008,KW XKZ 1033,1,0,4,0
2008,4262750,0,0,4,1
2008,2267570,1,0,4,0
2008,4262746,1,0,4,1
2009,5256114,1,0,4,0
2009,5272290,1,0,4,0
2009,4269562,1,0,4,1
2009,5253377,1,0,4,0
2010,2312538,1,0,4,0
2010,2306241,0,1,4,1
2010,5263101,1,0,4,1
2010,4293570,0,1,4,1
2010,5271539,0,0,4,0
2010,4279118,1,0,4,0
2010,12006526,1,0,4,0
2010,4280586,0,1,4,0
2011,5276973,0,1,4,1
2011,KW XKW 2737,0,0,4,0
2011,5293912,1,0,4,0
2011,5273704,1,0,4,1
2011,5277162,1,0,4,0
2011,5286008,0,0,4,0
2011,KW XKZ 1713,0,1,4,1
2011,5280348,0,1,4,0
2011,4290642,1,0,4,1
2011,5272036,1,0,4,1
2012,4311131,1,0,4,1
2013,14029101,1,0,4,1
2013,KW GW A101524,1,0,4,1
2013,14013747,0,0,4,1
2014,14036517,1,0,4,1
2014,14027694,0,0,4,1
