id,year,opening,rrh,timebin,wolf,author,book_type,picture_rrh,picture_wolf,rrh_new,any_picture_wolf,any_picture_rrh,wolf_cover,rrh_cover,length
KW BJ 50438,1943,0,1.0,3,1,Hendrik de Wolf,verhaal,0,0,1.0,1,1,0,0,502
KW BJ 52086,1943,1,0.0,3,1,Annettes Dideric Hildebrand,verhaal,0,0,0.0,0,0,0,0,6979
KW Ki 1134,1945,1,0.0,3,1,Béatrice Mallet,verhaal,1,1,0.0,1,1,0,0,888
KW GW A100123,1945,1,0.0,3,1,Godelieve Uyttendaele,verhaal,1,1,0.0,1,1,0,0,1374
KW GW A103915,1945,1,0.0,3,1,Anonymous,verhaal,1,1,0.0,1,1,0,0,845
NBM Mfe 25168,1946,1,0.0,3,0,Frederik August Betlem,verhaal,0,0,0.0,1,1,0,0,820
KW XKE 874,1946,0,1.0,3,1,Rudolf Asveer Jacob van Lier,(rijmend) gedicht,0,0,1.0,1,1,0,0,1512
KW BJ Z5339,1947,0,0.0,3,0,Anonymous,verhaal,1,1,0.0,1,1,0,0,2240
KW XKR 8185,1948,0,0.0,3,1,Cees Woltman,verhaal,1,1,0.0,1,1,0,0,1609
KW XKB 984,1948,1,0.0,3,0,Brugt Jan Douwes,verhaal,1,0,0.0,1,1,0,0,1304
KW XKP 821,1948,1,0.0,3,0,Johanna Wynanda Veeken-Bakker,verhaal,1,0,0.0,1,1,0,0,1596
KW BJ 51575,1948,1,0.0,3,1,Inga-Britt Allert,verhaal,1,0,0.0,1,1,0,0,3508
KW XKZ 0207,1950,0,1.0,3,0,Ruth Rooijackers,(rijmend) gedicht,0,0,1.0,0,1,0,0,51
KW XKZ 0263,1950,0,0.0,3,0,Anonymous,picture book,1,1,1.0,1,1,0,0,275
KW XKE 500,1950,0,0.0,3,0,Anonymous,verhaal,1,0,0.0,1,1,0,0,513
KW Kluitman 43,1950,1,0.0,3,0,Angenita C. Klooster,verhaal,0,0,0.0,1,1,0,0,3837
KW XKP 715,1950,0,1.0,3,1,Anonymous,verhaal,1,1,1.0,1,1,0,0,28
KW XKN 214,1950,1,0.0,3,1,Frans Lammers,verhaal,1,0,0.0,1,1,0,0,730
KW XKR 4718,1950,0,0.0,3,0,Piet Marée,verhaal,0,0,0.0,1,1,0,0,1015
KW XKR 2228,1950,1,0.0,3,0,Wilhelmina Schermelé,verhaal,0,0,0.0,1,0,0,0,1633
KW XKP 415,1950,0,1.0,3,1,Anonymous,verhaal,1,0,1.0,1,1,0,0,278
KW XKR 3110,1950,0,1.0,3,1,Anonymous,verhaal,0,0,1.0,1,1,1,1,273
KW XKR 3019,1951,1,0.0,4,1,Marie Cramer,verhaal,1,0,0.0,1,1,0,0,1124
KW XKR 3306,1951,1,0.0,4,0,Truus Vinger,verhaal,1,0,0.0,1,1,0,0,666
KW XKR 1762,1952,1,0.0,4,0,Truus Vinger,picture book,0,0,0.0,1,1,0,0,179
KW XKD 768,1953,0,1.0,4,0,Johannes Pieter Jacobus Helmich Clinge Doorenbos,(rijmend) gedicht,0,0,1.0,0,0,0,0,141
KW GW A100302,1953,1,0.0,4,1,Marie Cramer,verhaal,1,0,0.0,1,1,0,0,930
KW XKZ 0449,1953,0,1.0,4,0,Johannes Pieter Jacobus Helmich Clinge Doorenbos,(rijmend) gedicht,1,1,1.0,1,1,0,0,144
KW BJ 51756,1955,0,0.0,4,1,Francis Bernardette Andrée,verhaal,0,0,0.0,1,1,0,0,2022
KW XKZ 1829,1956,1,0.0,4,0,Anonymous,verhaal,1,1,0.0,1,1,0,0,461
KW BJ 53228,1957,1,0.0,4,1,Anonymous,picture book,1,0,0.0,1,1,0,0,930
KW BJ 52022,1957,0,0.0,4,1,Dina Alida Cramer-Schaap,verhaal,1,1,0.0,1,1,0,0,7522
KW BJ 25857,1957,1,0.0,4,0,Anonymous,picture book,1,1,0.0,1,1,0,0,1094
KW BJ 52568,1958,1,0.0,4,1,Hendricus Gerard Hoekstra,verhaal,1,1,0.0,1,1,0,0,1103
KW XKR 0479,1958,1,0.0,4,1,Anonymous,verhaal,0,0,0.0,1,1,0,0,818
KW XKR 4352,1959,1,0.0,4,0,Leonard Roggeveen,verhaal,0,0,0.0,0,0,0,0,1025
KW BJ 26074,1959,1,0.0,4,0,Leonard Roggeveen,verhaal,1,1,0.0,1,1,0,0,1077
KW XKW 3362,1960,1,0.0,4,0,Anonymous,verhaal,0,0,0.0,1,1,1,1,411
KW BJ 02940,1960,1,0.0,4,1,Annettes Dideric Hildebrand,verhaal,0,0,0.0,1,1,0,0,6973
KW XKR 3599,1960,1,0.0,4,0,Anonymous,verhaal,1,1,0.0,1,1,0,0,1104
KW XKZ 0950,1960,0,0.0,4,0,Anonymous,verhaal,1,1,0.0,1,1,0,0,2168
KW XKZ 1671,1960,1,0.0,4,0,Anonymous,verhaal,0,0,0.0,0,0,0,0,759
KW XKZ 1517,1960,1,0.0,4,1,Anonymous,verhaal,0,0,0.0,1,1,0,0,2113
KW XKR 1852,1960,1,0.0,4,1,Anonymous,verhaal,0,0,0.0,1,1,1,1,954
KW XKR 6242,1960,0,0.0,4,1,Anonymous,verhaal,0,0,0.0,1,1,1,1,783
KW XKE 686,1960,0,1.0,4,1,Anonymous,(rijmend) gedicht,1,1,1.0,1,1,0,0,54
KW XKZ 1151,1960,1,0.0,4,0,Anonymous,verhaal,0,1,0.0,1,1,0,0,2938
KW BJ 51879,1962,1,0.0,4,1,A. Bouman,verhaal,1,0,0.0,1,1,1,0,1561
KW BJ 52782,1962,1,0.0,4,0,Johannes Hendrikus Willem Arnoldus,verhaal,1,0,0.0,1,1,0,0,1378
KW BJ 53171,1963,1,0.0,4,1,Fernand Karel Albert Bonneure,picture book,1,1,0.0,1,1,0,0,1641
KW BJ 53173,1966,1,0.0,4,1,Anonymous,verhaal,1,1,0.0,1,1,0,0,1478
KW BJ 52023,1967,0,0.0,4,1,Dina Alida Cramer-Schaap,verhaal,0,0,0.0,1,1,0,0,2019
KW XKR 3230,1967,1,0.0,4,0,Wilhelmina Schermelé,picture book,1,1,0.0,1,1,0,0,764
KW XKR 1354,1968,0,0.0,4,1,Anonymous,verhaal,0,0,0.0,0,0,0,0,1540
KW XKR 1506,1968,0,0.0,4,0,Marja Steur,verhaal,0,1,0.0,1,1,0,0,569
KW XKR 8067,1969,1,0.0,4,0,Anonymous,verhaal,1,1,0.0,1,1,0,0,845
KW BJ 53172,1970,0,1.0,4,1,Anonymous,picture book,1,1,1.0,1,1,0,0,112
KW XKR 9836,1970,1,0.0,4,1,Martine Catherina Maria Bijl,verhaal,1,0,0.0,1,1,0,0,1297
KW XKR 9864,1970,1,0.0,4,1,Anonymous,picture book,0,1,0.0,1,1,0,0,790
KW XKR 0951,1970,1,0.0,4,0,Anonymous,picture book,1,1,0.0,1,1,0,0,1267
KW XKY 493,1970,1,0.0,4,1,Anonymous,verhaal,1,0,0.0,1,1,0,0,879
KW BJ 02934,1970,1,0.0,4,0,Pieter Grashoff,verhaal,0,0,0.0,0,0,0,0,1581
KW BJ 53347,1971,1,0.0,4,1,Lia Timmermans,picture book,1,1,0.0,1,1,0,0,1504
KW XKR 4015,1971,1,0.0,4,0,Anonymous,verhaal,1,0,0.0,1,1,0,0,761
KW BJ 53056,1971,1,0.0,4,0,Anonymous,picture book,1,1,0.0,1,1,0,0,458
KW BJ 51957,1973,1,0.0,4,1,Cornelius W.A.J.A. Walraven,verhaal,1,0,0.0,1,1,0,0,1751
KW BJ 52843,1973,1,0.0,4,1,Emile Lopez,verhaal,1,1,0.0,1,1,0,0,690
KW XKR 5554,1973,1,0.0,4,0,John Strejan,verhaal,1,1,0.0,1,1,0,0,900
KW XKR 3603,1973,0,0.0,4,1,Anonymous,verhaal,1,0,0.0,1,1,0,0,1491
VD 40019 6,1974,1,0.0,4,0,Tadasu Izawa,picture book,0,0,0.0,1,1,0,0,352
KW Ki 6009,1974,0,1.0,4,1,Ton Wassink,verhaal,1,1,1.0,1,1,0,0,112
KW BJ 53081,1974,1,0.0,4,1,Anonymous,verhaal,1,1,0.0,1,1,0,0,3762
KW XKR 6120,1974,0,1.0,4,0,Anonymous,verhaal,0,0,1.0,0,0,0,0,738
